GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
adi-ims,com.qa.ims.controller,OrderItemsController,10,182,1,3,5,46,6,7,5,6
adi-ims,com.qa.ims.controller,OrdersController,8,128,0,2,4,36,4,7,4,6
adi-ims,com.qa.ims.controller,Action,33,83,2,0,9,9,3,3,2,3
adi-ims,com.qa.ims.controller,CustomerController,2,105,0,2,1,29,1,7,1,6
adi-ims,com.qa.ims.controller,ItemsController,4,108,0,2,2,30,2,7,2,6
adi-ims,com.qa.ims,Ims,221,35,18,2,54,9,17,4,4,3
adi-ims,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
adi-ims,com.qa.ims.persistence.dao,OrdersDaoMysql,77,264,1,1,24,52,2,9,1,9
adi-ims,com.qa.ims.persistence.dao,OrderItemsDaoMysql,103,227,1,1,26,49,2,9,1,9
adi-ims,com.qa.ims.persistence.dao,ItemsDaoMysql,74,228,1,1,25,45,2,9,1,9
adi-ims,com.qa.ims.persistence.dao,CustomerDaoMysql,301,0,2,0,70,0,11,0,10,0
adi-ims,com.qa.ims.services,OrderItemsServices,0,28,0,0,0,8,0,5,0,5
adi-ims,com.qa.ims.services,OrdersServices,0,28,0,0,0,8,0,5,0,5
adi-ims,com.qa.ims.services,ItemsServices,0,28,0,0,0,8,0,5,0,5
adi-ims,com.qa.ims.services,CustomerServices,0,28,0,0,0,8,0,5,0,5
adi-ims,com.qa.ims.persistence.domain,Orders,0,423,0,64,0,111,0,55,0,23
adi-ims,com.qa.ims.persistence.domain,Domain,33,83,2,0,9,8,3,3,2,3
adi-ims,com.qa.ims.persistence.domain,Customer,0,176,0,30,0,48,0,26,0,11
adi-ims,com.qa.ims.persistence.domain,Items,0,176,0,30,0,48,0,26,0,11
adi-ims,com.qa.ims.persistence.domain,OrderItems,13,339,4,50,5,90,4,43,1,19
adi-ims,com.qa.ims.utils,Utils,44,0,0,0,10,0,5,0,5,0
